Method,Accuracy,Precision,Recall,F1-score,AUC
Single Network,0.861244019138756,0.8603181314809222,0.8619614834022095,0.8607636280542955,0.9842031962972346
Single Network (Dirichlet distribution),0.22966507177033493,0.3371934544223626,0.23310104529616726,0.17850572806799375,0.5576645209146777
Monte Carlo Dropout,0.8660287081339713,0.8654163628015018,0.8666126461929071,0.8658236806547697,0.9857895216271528
Deep Ensemble (Different Structure),0.8851674641148325,0.8877830958458057,0.8852226994030736,0.8848804554618507,0.9886166108361895
Deep Ensemble (Same Structure),0.8708133971291866,0.8709638603030548,0.8712638089836048,0.8710103646078462,0.9885411321215392
